Date of ,Location of ,Violation,Violation Base,Amount Due/
8/12/15,Z1 2030,Meter Violation,50,0
8/12/15,1st Street,Meter Violation,50,0
8/12/15,Tyndall Ave Garage,Parking Over Line,60,0
8/12/15,Tyndall Ave Garage,Parking Over Line,60,0
8/12/15,Second Street Garage,Parking Over Line,60,0
8/12/15,Lot Specific 3231,Parking Permit Vio,50,0
8/12/15,1st Street,Meter Violation,50,70
8/12/15,Slonaker LD/HC/HR/SV,Meter Violation,50,0
8/12/15,Slonaker LD/HC/HR/SV,Meter Violation,50,0
8/12/15,Gould Simpson,Overtime,50,0
8/12/15,Gould Simpson,Service Space,60,0
8/12/15,Music Building,Service Space,60,0
8/12/15,4th Street,Overtime,50,0
8/12/15,Cherry Avenue Garage,Parking Over Line,60,20
8/12/15,Svc & Disabled 5183,Overtime,50,0
8/12/15,Cherry Avenue Garage,Parking Over Line,60,0
8/12/15,Z1 2030,Meter Violation,50,0
8/12/15,Lot Specific 5072,Parking Permit Vio,50,0
8/12/15,Lot Specific 5072,Parking Permit Vio,50,0
8/12/15,Tyndall Ave Garage,Parking Over Line,60,0
8/12/15,Tyndall Ave,Prohibited Parking,85,0
8/12/15,Svc & Disabled 5183,Service Space,60,0
8/12/15,Lot Specific 4052,Parking Permit Vio,50,0
8/12/15,Lot Specific 4052,Park/Improper Area,60,0
8/12/15,South Of Sixth 7102,Parking Over Line,60,0
8/12/15,Lot Specific 3231,Parking Permit Vio,50,0
8/12/15,South Of Sixth 7103,Park/Improper Area,60,0
8/12/15,Svc & Disabled 4058,Overtime,50,0
8/12/15,James E Rogers Way,Meter Violation,50,0
8/12/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/12/15,Tyndall Ave Garage,Overtime,50,0
8/12/15,Tyndall Ave Garage,Parking Over Line,60,0
8/12/15,Tyndall Ave Garage,Parking Over Line,60,0
8/12/15,Tyndall Ave Garage,Parking Over Line,60,0
8/12/15,Highland Avenue,Prohibited Parking,85,105
8/12/15,Metered Lot 3141,Overtime,50,70
8/12/15,Enke Drive,Meter Violation,50,0
8/12/15,Second Street Garage,Parking Over Line,60,0
8/12/15,James E Rogers Way,Overtime,50,0
8/12/15,Alley South of Second St,Overtime,50,0
8/12/15,Lot Specific 6093,Parking Permit Vio,50,0
8/12/15,Lot Specific 6093,Parking Permit Vio,50,70
8/12/15,Lot Specific 3113,Parking Permit Vio,50,0
8/12/15,Lot Specific 4052,Parking Permit Vio,50,0
8/12/15,Lot Specific 4052,Parking Permit Vio,50,0
8/12/15,Metered Lot 3141,Meter Violation,50,70
8/12/15,Metered Lot 3141,Meter Violation,50,70
8/12/15,James E Rogers Way,Overtime,50,70
8/12/15,Tyndall Ave Garage,Parking Over Line,60,0
8/12/15,Tyndall Ave Garage,Parking Over Line,60,0
8/12/15,Cherry Avenue,Meter Violation,50,0
8/12/15,Cherry Avenue,Meter Violation,50,70
8/12/15,Svc & Disabled 5162,Service Space,60,0
8/12/15,Cherry Avenue,Meter Violation,50,70
8/12/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/12/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/12/15,Math Building,Overtime,50,0
8/12/15,Metered Lot 6088,Meter Violation,50,0
8/12/15,Metered Lot 6088,Meter Violation,50,0
8/12/15,Svc & Disabled 5161,Overtime,50,0
8/12/15,Svc & Disabled 5161,Service Space,60,0
8/12/15,Lot Specific 6090,Parking Permit Vio,50,0
8/12/15,Lot Specific 6090,Parking Permit Vio,50,0
8/12/15,Lot Specific 6090,Prohibited Parking,85,0
8/13/15,Lot Specific 3039,Park/Improper Area,60,80
8/13/15,Lot Specific 4052,Park/Improper Area,60,0
8/13/15,Lot Specific 4052,Parking Permit Vio,50,0
8/13/15,Lot Specific 4052,Parking Permit Vio,50,0
8/13/15,Lot Specific 4056,Parking Permit Vio,50,0
8/13/15,1000 Block E 4th Street,Park/Improper Area,60,0
8/13/15,Z1 2030,Meter Violation,50,0
8/13/15,Svc & Disabled 5084,Overtime,50,0
8/13/15,Metered Lot 6088,Meter Violation,50,0
8/13/15,Tyndall Ave Garage,Parking Over Line,60,0
8/13/15,Lot Specific 4052,Parking Permit Vio,50,0
8/13/15,Lot Specific 4052,Parking Permit Vio,50,0
8/13/15,Lot Specific 4052,Parking Permit Vio,50,70
8/13/15,Saguaro Hall,Meter Violation,50,0
8/13/15,Enke Drive,Meter Violation,50,0
8/13/15,Enke Drive,Meter Violation,50,0
8/13/15,Enke Drive,Meter Violation,50,0
8/13/15,Enke Drive,Meter Violation,50,0
8/13/15,Alley South of Second St,Overtime,50,0
8/13/15,Vine Avenue,Meter Violation,50,0
8/13/15,Vine Avenue,Meter Violation,50,0
8/13/15,Svc & Disabled 5075,Overtime,50,0
8/13/15,James E Rogers Way,Meter Violation,50,0
8/13/15,Hawthorne,Overtime,50,0
8/13/15,Hawthorne,Overtime,50,0
8/13/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/13/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/13/15,Svc & Disabled 5073,Service Space,60,0
8/13/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/13/15,James E Rogers Way,Service Space,60,0
8/13/15,Svc & Disabled 4063,Overtime,50,0
8/13/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/13/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/13/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/13/15,Metered Lot 3141,Meter Violation,50,0
8/13/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/13/15,Metered Lot 6088,Meter Violation,50,0
8/13/15,Metered Lot 6088,Meter Violation,50,70
8/13/15,Cherry Avenue,Meter Violation,50,0
8/13/15,Lot Specific 6097,Parking Permit Vio,50,0
8/13/15,James E Rogers Way,Overtime,50,0
8/13/15,Svc & Disabled 5183,Overtime,50,70
8/13/15,Svc & Disabled 5073,Overtime,50,0
8/13/15,Lot Specific 6093,Park/Improper Area,60,0
8/13/15,Lot Specific 5067,Parking Permit Vio,50,0
8/13/15,1st Street,Meter Violation,50,0
8/13/15,Lot Specific 5072,Parking Permit Vio,50,0
8/13/15,1st Street,Meter Violation,50,0
8/13/15,Metered Lot 3141,Meter Violation,50,0
8/13/15,Lot Specific 3039,Parking Permit Vio,50,0
8/13/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/13/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/13/15,South Of Sixth 8106,Park/Improper Area,60,0
8/13/15,South Of Sixth 8106,Park/Improper Area,60,0
8/13/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/13/15,Lot Specific 6090,Parking Permit Vio,50,0
8/13/15,Lot Specific 6090,Parking Permit Vio,50,0
8/14/15,Lot Specific 4052,Parking Permit Vio,50,0
8/14/15,Lot Specific 4052,Parking Permit Vio,50,0
8/14/15,Lot Specific 4052,Parking Permit Vio,50,0
8/14/15,Lot Specific 5067,Parking Permit Vio,50,0
8/14/15,Lot Specific 6097,Parking Permit Vio,50,0
8/14/15,Lot Specific 6097,Parking Permit Vio,50,0
8/14/15,Second Street Garage,Prohibited Parking,85,0
8/14/15,Z1 2021,Parking Over Line,60,0
8/14/15,Z1 2021,Parking Over Line,60,0
8/14/15,Z1 2030,Parking Over Line,60,0
8/14/15,Z1 2030,Meter Violation,50,0
8/14/15,Lot Specific 4056,Parking Permit Vio,50,0
8/14/15,Lot Specific 4056,Parking Permit Vio,50,70
8/14/15,Lot Specific 4056,Park/Improper Area,60,0
8/14/15,Lot Specific 4052,Parking Permit Vio,50,0
8/14/15,Lot Specific 4052,Parking Permit Vio,50,0
8/14/15,Svc & Disabled 5084,Overtime,50,0
8/14/15,Lot Specific 3231,Parking Permit Vio,50,0
8/14/15,Sixth Street Garage,Overtime,50,0
8/14/15,Lot Specific 3039,Parking Permit Vio,50,0
8/14/15,Enke Drive,Meter Violation,50,0
8/14/15,Park Avenue Garage,Overtime,50,70
8/14/15,Park Avenue Garage,Park/Improper Area,60,0
8/14/15,Lot Specific 4121,Parking Permit Vio,50,0
8/14/15,James E Rogers Way,Prohibited Parking,85,0
8/14/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/14/15,South Of Sixth 7102,Parking Over Line,60,0
8/14/15,2nd Street,Meter Violation,50,70
8/14/15,Highland Commons,Overtime,50,0
8/14/15,Svc & Disabled 5183,Overtime,50,0
8/14/15,Svc & Disabled 5183,Overtime,50,0
8/14/15,Alley Euclid To Tyndall,Park/Improper Area,60,0
8/14/15,Alley Euclid To Tyndall,Park/Improper Area,60,0
8/14/15,Sixth Street Garage,Overtime,50,0
8/15/15,Metered Lot 6088,Prohibited Parking,85,0
8/15/15,Metered Lot 6088,Prohibited Parking,85,105
8/15/15,Tyndall Ave,Prohibited Parking,85,0
8/15/15,Tyndall Ave,Prohibited Parking,85,0
8/17/15,Sixth Street Garage,Parking Over Line,60,80
8/17/15,Sixth Street Garage,Park/Improper Area,60,20
8/17/15,Lot Specific 6092,Parking Over Line,60,0
8/17/15,Main Gate Garage 2nd St,Parking Over Line,60,0
8/17/15,Main Gate Garage 2nd St,Parking Over Line,60,0
8/17/15,Main Gate Garage 2nd St,Parking Over Line,60,0
8/17/15,Main Gate Garage 2nd St,Parking Over Line,60,0
8/17/15,Second Street Garage,Parking Over Line,60,0
8/17/15,Tyndall Ave Garage,Parking Over Line,60,0
8/17/15,Main Gate Garage 2nd St,Parking Over Line,60,0
8/17/15,Park Avenue Garage,Parking Over Line,60,0
8/17/15,Park Avenue Garage,Parking Over Line,60,0
8/17/15,Cherry Avenue Garage,Parking Over Line,60,80
8/17/15,Sixth Street Garage,Overtime,50,0
8/17/15,Coronado,W/C Space/Access - 1DA,500,520
8/18/15,Lot Specific 5072,Park/Improper Area,60,0
8/18/15,Tyndall Ave Garage,Park/Improper Area,60,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Park/Improper Area,60,80
8/18/15,Lot Specific 5072,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Park/Improper Area,60,80
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Park/Improper Area,60,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Highland Avenue,Prohibited Parking,85,0
8/18/15,Park Student Union West,Overtime,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7228,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7228,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7156,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7156,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7156,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7156,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7156,Parking Permit Vio,50,0
8/18/15,Metered Lot 6088,Meter Violation,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Metered Lot 6088,Meter Violation,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7227,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7227,Parking Permit Vio,50,0
8/18/15,Highland Avenue,Prohibited Parking,85,0
8/18/15,South Of Sixth 7227,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7227,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,Lot Specific 4056,Parking Permit Vio,50,70
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,Lot Specific 4056,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,Lot Specific 4056,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,Lot Specific 4056,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,Lot Specific 4056,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,Lot Specific 4056,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,Lot Specific 4056,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,Lot Specific 4056,Parking Permit Vio,50,0
8/18/15,Lot Specific 4056,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,Lot Specific 4056,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,Lot Specific 4056,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,Lot Specific 4056,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,Lot Specific 4056,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7103,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7103,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7103,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7167,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7167,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7167,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7103,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7103,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7103,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7103,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7103,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7103,Parking Permit Vio,50,0
8/18/15,Svc & Disabled 3140,Park/Improper Area,60,80
8/18/15,Svc & Disabled 3140,Service Space,60,80
8/18/15,Svc & Disabled 3140,Service Space,60,80
8/18/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/18/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/18/15,Z1 2021,Parking Permit Vio,50,0
8/18/15,Z1 2021,Parking Permit Vio,50,0
8/18/15,Z1 2021,Parking Permit Vio,50,0
8/18/15,Z1 2021,Parking Permit Vio,50,0
8/18/15,Second Street Garage,Parking Over Line,60,0
8/18/15,Z1 2021,Parking Permit Vio,50,0
8/18/15,Z1 2021,Parking Permit Vio,50,0
8/18/15,Second Street Garage,Parking Over Line,60,0
8/18/15,South Of Sixth 7156,Parking Permit Vio,50,0
8/18/15,Z1 2021,Parking Permit Vio,50,0
8/18/15,Z1 2021,Parking Over Line,60,0
8/18/15,Z1 2021,Parking Permit Vio,50,0
8/18/15,Z1 2021,Parking Permit Vio,50,0
8/18/15,Svc & Disabled 5183,Overtime,50,0
8/18/15,Z1 2021,Parking Permit Vio,50,0
8/18/15,Z1 2021,Parking Permit Vio,50,0
8/18/15,Z1 2021,Park/Improper Area,60,0
8/18/15,South Hall ROTC,Prohibited Parking,85,0
8/18/15,Lot Specific 3231,Parking Permit Vio,50,0
8/18/15,Lot Specific 3231,Parking Permit Vio,50,0
8/18/15,Lot Specific 3231,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 3113,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 3113,Service Space,60,0
8/18/15,Lot Specific 3113,Parking Permit Vio,50,0
8/18/15,Lot Specific 3113,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Sixth Street Garage,Overtime,50,0
8/18/15,2nd Street,Service Space,60,0
8/18/15,Lot Specific 3039,Parking Permit Vio,50,0
8/18/15,Hawthorne,Park/Improper Area,60,0
8/18/15,Lot Specific 3039,Parking Permit Vio,50,0
8/18/15,Lot Specific 3039,Parking Permit Vio,50,0
8/18/15,Lot Specific 3039,Parking Permit Vio,50,0
8/18/15,Lot Specific 3039,Parking Permit Vio,50,0
8/18/15,Lot Specific 3039,Park/Improper Area,60,0
8/18/15,Lot Specific 3039,Prohibited Parking,85,0
8/18/15,Lot Specific 4054,Park/Improper Area,60,0
8/18/15,Lot Specific 3039,Parking Permit Vio,50,0
8/18/15,Lot Specific 3039,Parking Permit Vio,50,0
8/18/15,Lot Specific 3039,Parking Permit Vio,50,0
8/18/15,Lot Specific 3039,Park/Improper Area,60,0
8/18/15,Z1 2025,Parking Permit Vio,50,0
8/18/15,Z1 2025,Parking Permit Vio,50,0
8/18/15,Lot Specific 3039,Park/Improper Area,60,80
8/18/15,Z1 2025,Parking Permit Vio,50,0
8/18/15,Z1 1232,Parking Permit Vio,50,0
8/18/15,Z1 1232,Parking Permit Vio,50,0
8/18/15,Z1 2030,Meter Violation,50,0
8/18/15,Z1 1232,Parking Permit Vio,50,0
8/18/15,Z1 1232,Parking Permit Vio,50,0
8/18/15,Z1 2030,Meter Violation,50,0
8/18/15,Z1 1232,Parking Permit Vio,50,0
8/18/15,Z1 2030,Meter Violation,50,70
8/18/15,Z1 2030,Meter Violation,50,0
8/18/15,Z1 2030,Meter Violation,50,70
8/18/15,Z1 2030,Meter Violation,50,20
8/18/15,Z1 2030,Meter Violation,50,0
8/18/15,Z1 2030,Meter Violation,50,0
8/18/15,Z1 2030,Parking Permit Vio,50,0
8/18/15,Z1 2030,Parking Permit Vio,50,0
8/18/15,Z1 2030,Parking Permit Vio,50,0
8/18/15,Lot Specific 3039,Parking Permit Vio,50,0
8/18/15,Lot Specific 3039,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Park/Improper Area,60,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,0
8/18/15,Lot Specific 4052,Parking Permit Vio,50,20
8/18/15,Z1 1018,Parking Permit Vio,50,0
8/18/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/18/15,Z1 1018,Parking Permit Vio,50,0
8/18/15,Z1 1018,Parking Permit Vio,50,0
8/18/15,Z1 1018,Parking Permit Vio,50,0
8/18/15,Z1 1018,Parking Permit Vio,50,0
8/18/15,Lot Specific 4053,W/C Space/Access - 1DA,500,0
8/18/15,Lot Specific 5072,Parking Permit Vio,50,0
8/18/15,Highland Avenue,Prohibited Parking,85,0
8/18/15,Lot Specific 6090,Parking Permit Vio,50,0
8/18/15,Tyndall Ave,Service Space,60,0
8/18/15,Lot Specific 6090,Parking Permit Vio,50,0
8/18/15,Lot Specific 5067,Parking Permit Vio,50,0
8/18/15,Lot Specific 5067,Parking Permit Vio,50,0
8/18/15,Lot Specific 5067,Parking Permit Vio,50,0
8/18/15,Lot Specific 5067,Parking Permit Vio,50,0
8/18/15,Lot Specific 5067,Parking Permit Vio,50,0
8/18/15,Lot Specific 5067,Parking Permit Vio,50,0
8/18/15,Lot Specific 5067,Parking Permit Vio,50,0
8/18/15,Tyndall Ave,Park/Improper Area,60,0
8/19/15,Svc 5066,Park/Improper Area,60,0
8/19/15,Tyndall Ave Garage,Park/Improper Area,60,0
8/19/15,Second Street Garage,Parking Over Line,60,0
8/19/15,Lot Specific 6090,Parking Permit Vio,50,0
8/19/15,Lot Specific 4052,Parking Permit Vio,50,0
8/19/15,Lot Specific 4052,Parking Permit Vio,50,0
8/19/15,Lot Specific 4052,Parking Permit Vio,50,0
8/19/15,Lot Specific 2012,Parking Permit Vio,50,0
8/19/15,Cherry Avenue Garage,Overtime,50,0
8/19/15,Tyndall Ave,Park/Improper Area,60,80
8/19/15,Tyndall Ave,Park/Improper Area,60,0
8/19/15,Tyndall Ave,Park/Improper Area,60,0
8/20/15,Tyndall Ave Garage,Parking Over Line,60,0
8/20/15,Lot Specific 6090,Parking Permit Vio,50,0
8/20/15,Sixth Street Garage,Overtime,50,0
8/20/15,4th Street,Prohibited Parking,85,0
8/20/15,Coronado,W/C Space/Access - 1DA,500,20
8/21/15,Sixth Street Garage,Park/Improper Area,60,0
8/21/15,Main Gate Garage,Overtime,50,70
8/21/15,Sixth Street Garage,Park/Improper Area,60,0
8/21/15,Highland Avenue,Overtime,50,0
8/24/15,Sixth Street Garage,Parking Over Line,60,0
8/24/15,Sixth Street Garage,Parking Over Line,60,0
8/24/15,Sixth Street Garage,Parking Over Line,60,0
8/24/15,Sixth Street Garage,Parking Over Line,60,0
8/24/15,4th Street,Service Space,60,0
8/24/15,Svc & Disabled 5073,Service Space,60,0
8/24/15,Lot Specific 6090,Parking Permit Vio,50,0
8/24/15,Warren Avenue North,Service Space,60,80
8/24/15,Tyndall Ave Garage,Parking Over Line,60,0
8/24/15,Lot Specific 6090,Parking Permit Vio,50,0
8/24/15,Tyndall Ave Garage,Parking Over Line,60,0
8/24/15,Lot Specific 6090,Parking Permit Vio,50,0
8/24/15,Tyndall Ave Garage,Parking Over Line,60,0
8/24/15,Tyndall Ave Garage,Parking Over Line,60,0
8/24/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/24/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/24/15,1000 Block E 4th Street,Parking Permit Vio,50,0
8/24/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/24/15,South Of Sixth 8106,Park/Improper Area,60,0
8/24/15,Svc & Disabled 3140,Service Space,60,0
8/24/15,Svc & Disabled 3140,Service Space,60,80
8/24/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/24/15,Lot Specific 5067,Parking Permit Vio,50,0
8/24/15,Lot Specific 5072,Parking Permit Vio,50,0
8/24/15,Lot Specific 5072,Park/Improper Area,60,0
8/24/15,Lot Specific 5072,Parking Permit Vio,50,0
8/24/15,Lot Specific 5072,Park/Improper Area,60,0
8/24/15,South Of Sixth 8178,Parking Permit Vio,50,0
8/24/15,Lot Specific 5072,Parking Permit Vio,50,0
8/24/15,Lot Specific 4121,Parking Permit Vio,50,0
8/24/15,Lot Specific 4121,Parking Permit Vio,50,0
8/24/15,Lot Specific 5072,Service Space,60,0
8/24/15,Lot Specific 5072,Meter Violation,50,0
8/24/15,Lot Specific 4164,Park/Improper Area,60,0
8/24/15,Lot Specific 6098,Parking Permit Vio,50,0
8/24/15,Lot Specific 6098,Parking Permit Vio,50,0
8/24/15,Lot Specific 4052,Parking Permit Vio,50,0
8/24/15,Lot Specific 4052,Parking Permit Vio,50,0
8/24/15,Lot Specific 4052,Parking Permit Vio,50,0
8/24/15,Lot Specific 4052,Park/Improper Area,60,0
8/24/15,Lot Specific 4052,Parking Permit Vio,50,0
8/24/15,Lot Specific 4052,Parking Permit Vio,50,0
8/24/15,Lot Specific 4052,Parking Permit Vio,50,0
8/24/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/24/15,Lot Specific 3039,Parking Permit Vio,50,0
8/24/15,Lot Specific 3039,Parking Permit Vio,50,0
8/24/15,Lot Specific 3039,Parking Permit Vio,50,0
8/24/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/24/15,Lot Specific 4056,Parking Permit Vio,50,0
